Artist,Song,Streams,Genre,Class
Powfu,Grade 4 Crush,608138,,0.9902043060610257
Powfu,I Could Never Be Loved,20708632,,2.392936465642759
Powfu,Ghost in Town,2106377,,1.484164839451725
Powfu,Feel It All,2373816,,1.5316909905385425
Powfu,Another Love Song,821596,,1.109824139743047
Powfu,Ray Gun,558577,,0.9564037269164203
Powfu,Breathe In,174106,,0.4928991770933693
Powfu,Friends,31253,,0.0
Beach Bunny,Prom Queen,170840941,,2.231956315444887
Beach Bunny,Adulting,2643923,,1.5428932816541274
Beach Bunny,Goodbye Summer :(,1671372,,1.306020937677525
Beach Bunny,Painkiller,25871947,,2.720954563585078
Beach Bunny,Sports,70537067,,2.0796613322907236
Beach Bunny,Boys,8155610,,2.124690170567592
Beach Bunny,February,7204709,,2.0606602010830732
Beach Bunny,Jenny,3683791,,1.7142021558257783
Beach Bunny,Intro,623375,,0.7966314708477377
Beach Bunny,Ghost,1645384,,1.2979269875564456
Beach Bunny,July,2239312,,1.4571067183458717
Beach Bunny,Deja Vu,1248059,,1.1551771739701826
Beach Bunny,Waves,1533216,,1.2614595072827544
Beach Bunny,Greetings from California,1166772,,1.120392281090079
Beach Bunny,Shoegazer,1723702,,1.3219440586124027
Beach Bunny,6 Weeks,5366283,,1.9085023796059462
Beach Bunny,Call Me Baby,3813228,,1.7320384830863567
Beach Bunny,Oozin,1354684,,1.197518369257522
The Marias,Over the Moon,23522341,,1.7217719155008167
The Marias,ABQ,6451781,,0.5823610243037851
